time,J_v
0.002777778,1241.46316
0.005555556,1262.669644
0.008333333,1168.14712
0.011111111,1202.424339
0.013888889,1249.435748
0.016666667,1201.455391
0.019444444,1209.488638
0.022222222,1269.103567
0.025,1239.503145
0.027777778,1238.714666
0.030555556,1205.065749
0.033333333,1228.114806
0.036111111,1210.557089
0.038888889,1204.048977
0.041666667,1188.927085
0.044444444,1175.698168
0.047222222,1193.237575
0.05,1178.097075
0.052777778,1163.146966
0.055555556,1192.580118
0.058333333,1160.237131
0.061111111,1169.021812
0.063888889,1196.765523
0.066666667,1145.180359
0.069444444,1181.576644
0.072222222,1148.760099
0.075,1153.798555
0.077777778,1138.386224
0.080555556,1159.286622
0.083333333,1135.461841
0.086111111,1130.394348
0.088888889,1115.194667
0.091666667,1125.177452
0.094444444,1123.211429
0.097222222,1103.300091
0.1,1080.151727
0.102777778,1114.951869
0.105555556,1105.420268
0.108333333,1128.003659
0.111111111,1103.582516
0.113888889,1110.663983
0.116666667,1090.991709
0.119444444,1090.617033
0.122222222,1078.053927
0.125,1077.319005
0.127777778,1078.762253
0.130555556,1080.025391
0.133333333,1078.891657
0.136111111,1089.83598
0.138888889,1089.523649
0.141666667,1068.667435
0.144444444,1039.505977
0.147222222,1046.821682
0.15,1060.892057
0.152777778,1046.815461
0.155555556,1055.620961
0.158333333,1043.499122
0.161111111,1057.953184
0.163888889,1040.323816
0.166666667,1047.787274
0.169444444,1026.758937
0.172222222,1022.913147
0.175,1025.906431
0.177777778,1027.495357
0.180555556,1022.891966
0.183333333,1030.512993
0.186111111,1011.347669
0.188888889,1002.734285
0.191666667,1030.325573
0.194444444,988.5850852
0.197222222,990.9445675
0.2,996.0135481
0.202777778,988.6048082
0.205555556,982.3637286
0.208333333,993.6376235
0.211111111,968.3599857
0.213888889,983.7760467
0.216666667,975.0701488
0.219444444,980.9951446
0.222222222,966.4983927
0.225,963.3659432
0.227777778,951.1432022
0.230555556,945.575261
0.233333333,958.8486431
0.236111111,966.7641046
0.238888889,943.4571172
0.241666667,936.4484938
0.244444444,921.2701166
0.247222222,934.9850711
0.25,947.44459
0.252777778,955.7878215
0.255555556,941.7650603
0.258333333,941.1480321
0.261111111,939.0477854
0.263888889,937.3392309
0.266666667,927.6979596
0.269444444,939.0118499
0.272222222,919.3076996
0.275,930.304323
0.277777778,934.6850951
0.280555556,937.7579758
0.283333333,938.7873842
0.286111111,937.3978286
0.288888889,926.896358
0.291666667,915.8906839
0.294444444,903.8725753
0.297222222,887.7439147
0.3,900.1275475
0.302777778,896.9901393
0.305555556,904.9017821
0.308333333,902.1126963
0.311111111,901.8570696
0.313888889,899.0820304
0.316666667,887.1617148
0.319444444,910.4103407
0.322222222,891.502355
0.325,892.6097942
0.327777778,892.008606
0.330555556,860.8343539
0.333333333,873.7307308
0.336111111,876.5518182
0.338888889,883.6795962
0.341666667,870.3725153
0.344444444,858.0717534
0.347222222,866.0443102
0.35,864.6252811
0.352777778,864.2602948
0.355555556,867.1996561
0.358333333,860.3558383
0.361111111,858.2364255
0.363888889,855.9661124
0.366666667,879.0068527
0.369444444,871.7654939
0.372222222,876.0053097
0.375,863.3752571
0.377777778,848.5006073
0.380555556,841.8822232
0.383333333,856.3349202
0.386111111,846.1235295
0.388888889,843.7241545
0.391666667,842.8651548
0.394444444,835.1100672
0.397222222,837.9754798
0.4,849.1920674
0.402777778,830.9508959
0.405555556,834.3252413
0.408333333,831.4130119
0.411111111,837.8424481
0.413888889,839.6853065
0.416666667,823.4885279
0.419444444,837.9451531
0.422222222,834.6107687
0.425,838.6575688
0.427777778,830.0101399
0.430555556,830.5650471
0.433333333,830.1296679
0.436111111,810.4897266
0.438888889,815.9966717
0.441666667,821.1023768
0.444444444,805.3037131
0.447222222,814.7841693
0.45,804.7306061
0.452777778,813.625145
0.455555556,807.9220411
0.458333333,810.8756613
0.461111111,813.077261
0.463888889,804.8324645
0.466666667,816.3010092
