time,J_v
0.002777778,1521.689469
0.005555556,1571.125682
0.008333333,1591.520029
0.011111111,1465.51669
0.013888889,1579.960294
0.016666667,1653.341961
0.019444444,1165.088446
0.022222222,1124.562131
0.025,1154.862376
0.027777778,1172.767614
0.030555556,1189.47237
0.033333333,1147.49063
0.036111111,1175.703533
0.038888889,1171.482362
0.041666667,1178.851814
0.044444444,1119.689353
0.047222222,1111.902673
0.05,1129.021772
0.052777778,1129.979554
0.055555556,1135.020997
0.058333333,1122.009769
0.061111111,1128.120486
0.063888889,1122.125531
0.066666667,1104.770761
0.069444444,1125.141889
0.072222222,1112.455652
0.075,1115.714922
0.077777778,1101.700291
0.080555556,1102.636652
0.083333333,1076.531206
0.086111111,1090.855506
0.088888889,1084.893094
0.091666667,1097.532932
0.094444444,1063.276164
0.097222222,1047.727885
0.1,1064.461655
0.102777778,1077.312638
0.105555556,1069.376113
0.108333333,1066.908067
0.111111111,1076.866864
0.113888889,1063.553685
0.116666667,1058.546522
0.119444444,1064.069668
0.122222222,1067.519021
0.125,1047.746244
0.127777778,1069.797638
0.130555556,1064.92515
0.133333333,1049.77451
0.136111111,1037.25397
0.138888889,1023.648976
0.141666667,1011.19142
0.144444444,948.5888783
0.147222222,1038.302202
0.15,1032.038189
0.152777778,1004.836232
0.155555556,995.5949316
0.158333333,992.2638197
0.161111111,1003.355687
0.163888889,1001.106333
0.166666667,1012.145257
0.169444444,995.3355699
0.172222222,993.8582386
0.175,957.6126424
0.177777778,985.0880141
0.180555556,966.9894721
0.183333333,980.7851258
0.186111111,984.0778566
0.188888889,970.321601
0.191666667,971.772836
0.194444444,962.0639608
0.197222222,966.7174279
0.2,970.2915409
0.202777778,964.4881117
0.205555556,972.5300351
0.208333333,965.5024805
0.211111111,968.1861881
0.213888889,953.5752942
0.216666667,947.4762771
0.219444444,952.712581
0.222222222,943.4407343
0.225,955.9362421
0.227777778,953.5006521
0.230555556,971.4775664
0.233333333,953.7849035
0.236111111,958.1431257
0.238888889,946.067878
0.241666667,936.6890317
0.244444444,923.911762
0.247222222,923.2143766
0.25,943.0560881
0.252777778,941.5584073
0.255555556,931.8361355
0.258333333,911.4388344
0.261111111,895.1850412
0.263888889,912.2293003
0.266666667,900.7710848
0.269444444,912.3562345
0.272222222,899.7403597
0.275,911.2924682
0.277777778,915.1443662
0.280555556,890.3528431
0.283333333,895.7313202
0.286111111,898.4783488
0.288888889,895.1864071
0.291666667,889.180144
0.294444444,894.1203048
0.297222222,880.9234124
0.3,887.8990372
0.302777778,877.1534873
0.305555556,883.473694
0.308333333,880.9582847
0.311111111,884.4039535
0.313888889,874.3981483
0.316666667,876.117816
0.319444444,866.5082727
0.322222222,875.364198
0.325,860.0981464
0.327777778,867.9837368
0.330555556,873.0753354
0.333333333,841.3661276
0.336111111,862.026303
0.338888889,831.4483157
0.341666667,857.1405515
0.344444444,860.4452139
0.347222222,855.967583
0.35,834.9238806
0.352777778,845.4913772
0.355555556,845.806754
0.358333333,848.2904187
0.361111111,837.5839576
0.363888889,850.8439772
0.366666667,820.0417965
0.369444444,819.1740434
0.372222222,814.9096512
0.375,820.9955483
0.377777778,833.616249
0.380555556,835.1393159
0.383333333,829.6363933
0.386111111,812.1937641
0.388888889,823.9245337
0.391666667,810.2424643
0.394444444,809.5351246
0.397222222,865.6041169
0.4,825.528939
0.402777778,806.9266789
0.405555556,819.8529032
0.408333333,816.3941311
0.411111111,800.1050447
0.413888889,805.7449702
0.416666667,818.0294343
0.419444444,825.0946742
0.422222222,801.1369811
0.425,819.0515602
0.427777778,804.8493662
0.430555556,804.9253821
0.433333333,804.6256065
0.436111111,819.0097023
