time,J_v
0.008333333,1206.762024
0.011111111,1201.049759
0.013888889,1210.276602
0.016666667,1183.534121
0.019444444,1197.539181
0.022222222,1145.238363
0.025,1148.410036
0.027777778,1115.257119
0.030555556,1150.121402
0.033333333,1162.261818
0.036111111,1149.189685
0.038888889,1148.751354
0.041666667,1150.554605
0.044444444,1171.764678
0.047222222,1132.419116
0.05,1120.94195
0.052777778,1128.095924
0.055555556,1132.71377
0.058333333,1117.405865
0.061111111,1117.780247
0.063888889,1133.551602
0.066666667,1083.358777
0.069444444,1108.137934
0.072222222,1095.519565
0.075,1113.389543
0.077777778,1116.566594
0.080555556,1111.989295
0.083333333,1107.11637
0.086111111,1091.17575
0.088888889,1082.784637
0.091666667,1081.162972
0.094444444,1076.529451
0.097222222,1067.224957
0.1,1079.570725
0.102777778,1057.879034
0.105555556,1079.210456
0.108333333,1057.229946
0.111111111,1033.763086
0.113888889,1061.268095
0.116666667,1082.965507
0.119444444,1064.572676
0.122222222,1055.055464
0.125,1041.895278
0.127777778,1019.605749
0.130555556,1030.274281
0.133333333,1026.438308
0.136111111,1048.725794
0.138888889,1031.580915
0.141666667,1012.739081
0.144444444,1021.609926
0.147222222,1024.272157
0.15,1031.754011
0.152777778,1033.582728
0.155555556,1035.404489
0.158333333,1010.629315
0.161111111,1001.660876
0.163888889,1007.415572
0.166666667,1000.293805
0.169444444,1013.239311
0.172222222,992.9985933
0.175,1013.778031
0.177777778,998.208391
0.180555556,1008.364698
0.183333333,1002.171192
0.186111111,982.3138764
0.188888889,975.9820999
0.191666667,976.998932
0.194444444,975.5663875
0.197222222,973.1870058
0.2,977.3702615
0.202777778,959.094816
0.205555556,964.5653995
0.208333333,971.2144191
0.211111111,974.6116486
0.213888889,971.0809019
0.216666667,951.3084683
0.219444444,959.7688306
0.222222222,936.4640947
0.225,955.2022827
0.227777778,927.2361679
0.230555556,943.9008274
0.233333333,937.3354517
0.236111111,940.7993289
0.238888889,943.9695917
0.241666667,962.6038761
0.244444444,943.5332306
0.247222222,945.6840628
0.25,953.7167576
0.252777778,957.4778665
0.255555556,941.6167687
0.258333333,949.933429
0.261111111,924.9209572
0.263888889,933.1247479
0.266666667,937.0400583
0.269444444,926.0066537
0.272222222,930.5072837
0.275,937.3949792
0.277777778,927.2170407
