time,J_v
0.002777778,3725.47808
0.005555556,3511.872858
0.008333333,3364.305733
0.011111111,3320.937353
0.013888889,3280.902281
0.016666667,3083.941609
0.019444444,3075.928849
0.022222222,2963.903206
0.025,2921.039857
0.027777778,2820.670018
0.030555556,2759.318543
0.033333333,2723.272772
0.036111111,2696.669233
0.038888889,2591.397386
0.041666667,2501.215176
0.044444444,2479.692943
0.047222222,2414.859558
0.05,2355.702872
0.052777778,2377.486597
0.055555556,2277.001618
0.058333333,2288.18364
0.061111111,2242.100528
0.063888889,2195.449591
0.066666667,2149.120703
0.069444444,2116.413547
0.072222222,2081.593391
0.075,2061.8358
0.077777778,2019.984367
0.080555556,1966.811774
0.083333333,1923.699304
0.086111111,1909.374529
0.088888889,1909.778064
0.091666667,1898.367342
0.094444444,1861.416046
0.097222222,1844.835004
0.1,1818.170549
0.102777778,1819.370144
0.105555556,1807.847925
0.108333333,1830.25138
0.111111111,1754.333768
0.113888889,1757.031797
0.116666667,1696.258079
0.119444444,1696.664827
0.122222222,1706.90038
0.125,1633.538617
0.127777778,1618.987044
0.130555556,1580.480396
0.133333333,1618.1643
0.136111111,1629.531078
0.138888889,1609.500666
0.141666667,1583.951687
0.144444444,1564.997666
0.147222222,1545.781165
0.15,1567.037096
0.152777778,1548.491298
0.155555556,1561.493318
0.158333333,1551.689898
0.161111111,1525.222319
0.163888889,1534.440814
0.166666667,1518.801041
0.169444444,1487.010321
0.172222222,1510.107944
0.175,1503.567511
0.177777778,1475.007189
0.180555556,1469.791766
0.183333333,1465.826611
0.186111111,1457.073451
0.188888889,1454.779753
0.191666667,1441.057176
0.194444444,1430.264482
0.197222222,1434.47231
0.2,1447.332134
0.202777778,1436.756899
0.205555556,1439.497603
0.208333333,1417.894486
0.211111111,1407.645874
0.213888889,1405.258931
0.216666667,1381.814626
0.219444444,1389.55582
0.222222222,1382.771121
0.225,1382.536655
0.227777778,1372.224475
0.230555556,1369.670023
0.233333333,1359.137143
0.236111111,1346.56925
0.238888889,1335.429008
0.241666667,1342.886646
0.244444444,1331.120609
0.247222222,1326.004683
0.25,1323.931571
0.252777778,1308.099398
0.255555556,1280.30971
0.258333333,1297.822059
0.261111111,1276.456821
0.263888889,1303.87492
0.266666667,1272.708636
0.269444444,1266.604265
0.272222222,1229.398619
0.275,1216.90448
0.277777778,1228.12775
0.280555556,1233.890093
0.283333333,1204.545807
0.286111111,1221.158678
0.288888889,1212.942439
0.291666667,1195.691671
0.294444444,1211.08011
0.297222222,1197.697427
0.3,1190.347914
0.302777778,1190.402126
0.305555556,1236.734082
0.308333333,1199.835408
0.311111111,1180.786504
0.313888889,1180.342937
0.316666667,1162.200493
0.319444444,1169.23986
0.322222222,1175.359744
0.325,1186.372225
0.327777778,1244.710142
0.330555556,1208.029566
0.333333333,1174.054064
0.336111111,1161.003387
0.338888889,1154.762318
0.341666667,1145.05974
0.344444444,1147.240577
0.347222222,1127.417608
0.35,1180.611884
0.352777778,1131.738712
0.355555556,1126.801654
0.358333333,1107.246012
0.361111111,1165.149023
0.363888889,1122.687703
0.366666667,1127.199527
0.369444444,1107.19334
0.372222222,1106.953122
0.375,1096.739865
0.377777778,1098.377208
0.380555556,1115.703345
0.383333333,1096.577762
0.386111111,1079.23162
0.388888889,1090.624077
0.391666667,1124.825698
0.394444444,1091.025816
0.397222222,1077.017384
