time,J_v
0.002777778,4922.663705
0.005555556,4834.276945
0.008333333,4498.825835
0.011111111,4265.763181
0.013888889,4801.179995
0.016666667,4300.584337
0.019444444,3740.879249
0.022222222,4183.82883
0.025,3818.37142
0.027777778,3516.187615
0.030555556,3376.250108
0.033333333,3703.905416
0.036111111,3238.005834
0.038888889,3247.608665
0.041666667,3585.513254
0.044444444,3082.214717
0.047222222,3034.627533
0.05,3068.628176
0.052777778,2841.109863
0.055555556,2826.407509
0.058333333,2759.520505
0.061111111,2654.142353
0.063888889,2675.231562
0.066666667,2583.241814
0.069444444,2483.106695
0.072222222,2503.902706
0.075,2451.918983
0.077777778,2369.46061
0.080555556,2326.11372
0.083333333,2296.891042
0.086111111,2276.908252
0.088888889,2158.199546
0.091666667,2235.578325
0.094444444,2125.338136
0.097222222,2198.77462
0.1,2140.382799
0.102777778,2181.625678
0.105555556,2146.211502
0.108333333,1993.657226
0.111111111,2007.088512
0.113888889,1964.332113
0.116666667,1992.263602
0.119444444,1959.277958
0.122222222,1965.951227
0.125,1949.333293
0.127777778,1926.865136
0.130555556,1917.902555
0.133333333,1922.821644
0.136111111,1914.129652
0.138888889,1879.123572
0.141666667,1863.955096
0.144444444,1831.404118
0.147222222,1832.193655
0.15,1858.584831
0.152777778,1812.511361
0.155555556,1793.530809
0.158333333,1756.367524
0.161111111,1773.310532
0.163888889,1717.790866
0.166666667,1731.078239
0.169444444,1707.737118
0.172222222,1671.839511
0.175,1682.401273
0.177777778,1666.49192
0.180555556,1664.988278
0.183333333,1639.880263
0.186111111,1625.788722
0.188888889,1628.549738
0.191666667,1616.821054
0.194444444,1696.029814
0.197222222,1566.438507
0.2,1579.935685
0.202777778,1587.431521
0.205555556,1561.106661
0.208333333,1558.871648
0.211111111,1555.337223
0.213888889,1503.991765
0.216666667,1544.196125
0.219444444,1511.674402
0.222222222,1547.522984
0.225,1521.887518
0.227777778,1520.529781
0.230555556,1489.583327
0.233333333,1494.078503
0.236111111,1466.851764
0.238888889,1482.656765
0.241666667,1453.664884
0.244444444,1456.66842
0.247222222,1462.054296
0.25,1450.446715
0.252777778,1446.143282
0.255555556,1434.704513
0.258333333,1424.483887
0.261111111,1448.174116
0.263888889,1410.304309
0.266666667,1420.128989
0.269444444,1436.883403
0.272222222,895.5653254
0.275,902.9772108
0.277777778,890.8009125
0.280555556,916.386504
0.283333333,917.1758588
0.286111111,886.2184656
0.288888889,888.2561694
0.291666667,896.5210003
0.294444444,889.3561082
0.297222222,888.7846512
0.3,912.1745261
0.302777778,876.3157203
0.305555556,894.1964744
0.308333333,912.07853
0.311111111,891.6681568
0.313888889,889.6089379
0.316666667,904.1885975
0.319444444,903.7094177
0.322222222,851.9728169
0.325,895.2714805
0.327777778,884.212661
0.330555556,877.9109172
0.333333333,889.6056772
0.336111111,884.097723
0.338888889,892.3315969
0.341666667,972.738805
0.344444444,893.9629644
0.347222222,891.6138974
0.35,879.7665303
0.352777778,905.2218336
0.355555556,885.8562864
0.358333333,891.2382162
0.361111111,875.9134836
0.363888889,901.6733187
0.366666667,876.0431968
0.369444444,885.363613
0.372222222,897.2516202
0.375,879.945965
0.377777778,878.9485032
0.380555556,871.7569755
0.383333333,883.6606908
0.386111111,908.3314164
0.388888889,882.9524363
0.391666667,903.0775424
0.394444444,864.3507921
0.397222222,892.3618569
0.4,899.6272417
0.402777778,874.2688645
0.405555556,880.1026341
0.408333333,888.9673542
0.411111111,888.0036809
0.413888889,882.4959636
0.416666667,886.7584215
0.419444444,901.8838668
0.422222222,862.9921707
0.425,879.4188834
0.427777778,896.4540686
0.430555556,871.038044
0.433333333,848.2361579
0.436111111,893.6325016
0.438888889,878.952393
0.441666667,893.653517
0.444444444,875.0296833
0.447222222,890.4584661
0.45,904.1715365
0.452777778,870.7483301
0.455555556,872.0776747
0.458333333,893.2616689
0.461111111,862.4369236
0.463888889,853.4599248
0.466666667,887.0281922
0.469444444,884.5905844
0.472222222,867.2315581
0.475,871.4147232
0.477777778,867.5899993
0.480555556,881.232539
0.483333333,876.1507542
0.486111111,866.4128079
0.488888889,870.475447
0.491666667,878.6447039
0.494444444,879.5126428
0.497222222,877.9212729
0.5,879.0364613
0.502777778,877.1475586
0.505555556,860.8899579
0.508333333,840.7515027
0.511111111,877.2813632
0.513888889,866.2598554
0.516666667,868.3679632
0.519444444,886.3235174
0.522222222,863.93353
0.525,858.9309077
0.527777778,873.3794403
0.530555556,889.5307119
0.533333333,859.6301598
0.536111111,856.3580466
0.538888889,864.5794901
