time,J_v
0.002777778,4013.026872
0.005555556,3753.328844
0.008333333,3496.334515
0.011111111,3377.182693
0.013888889,3454.47613
0.016666667,3581.603302
0.019444444,3141.456002
0.022222222,3107.175523
0.025,3048.78051
0.027777778,3165.902042
0.030555556,2890.353819
0.033333333,2767.347942
0.036111111,2648.82843
0.038888889,2637.67172
0.041666667,2597.562058
0.044444444,2538.026781
0.047222222,2821.180427
0.05,2454.503613
0.052777778,2433.726309
0.055555556,2379.862257
0.058333333,2323.158935
0.061111111,2246.554944
0.063888889,2122.017407
0.066666667,2178.709936
0.069444444,2147.396384
0.072222222,2284.246417
0.075,2066.735195
0.077777778,2035.369405
0.080555556,2009.904798
0.083333333,1960.566341
0.086111111,1977.917015
0.088888889,1967.467221
0.091666667,1942.568944
0.094444444,1923.192959
0.097222222,1979.21565
0.1,1900.260338
0.102777778,1866.47999
0.105555556,1837.391627
0.108333333,1726.881457
0.111111111,1802.670411
0.113888889,1786.294904
0.116666667,1785.566732
0.119444444,1752.65278
0.122222222,1721.493659
0.125,1728.8076
0.127777778,1707.850186
0.130555556,1713.178923
0.133333333,1683.452414
0.136111111,1642.195456
0.138888889,1666.822836
0.141666667,1642.384577
0.144444444,1608.407683
0.147222222,1631.388847
0.15,1640.583168
0.152777778,1574.729053
0.155555556,1568.389604
0.158333333,1560.416166
0.161111111,1561.954417
0.163888889,1556.359622
0.166666667,1531.624783
0.169444444,1525.636992
0.172222222,1536.849667
0.175,1538.355568
0.177777778,1547.839426
0.180555556,1547.630095
0.183333333,1505.553359
0.186111111,1508.85927
0.188888889,1485.02795
0.191666667,1478.399651
0.194444444,1564.277769
0.197222222,1446.691875
0.2,1456.855879
0.202777778,1447.900262
0.205555556,1404.953463
0.208333333,1401.215451
0.211111111,1403.386817
0.213888889,1354.562648
0.216666667,1373.630423
0.219444444,1263.614628
0.222222222,1351.186154
0.225,1369.358575
0.227777778,1338.362888
0.230555556,1336.112095
0.233333333,1347.37352
0.236111111,1330.391903
0.238888889,1338.987666
0.241666667,1336.163239
0.244444444,1304.103749
0.247222222,1323.84607
0.25,1303.629545
0.252777778,1311.685457
0.255555556,1315.186966
0.258333333,1312.131946
0.261111111,1294.615248
0.263888889,1294.233852
0.266666667,1224.27078
0.269444444,1261.156934
0.272222222,1279.298751
0.275,1254.139887
0.277777778,1275.944539
0.280555556,1254.587675
0.283333333,1269.643653
0.286111111,1259.433062
0.288888889,1237.549012
0.291666667,1240.39056
0.294444444,1251.034582
0.297222222,1255.381721
0.3,1241.625122
0.302777778,1236.270274
0.305555556,1215.500895
0.308333333,1219.617211
0.311111111,1228.452416
0.313888889,1217.359772
0.316666667,1229.863638
0.319444444,1212.320766
0.322222222,1209.950831
0.325,1203.884827
0.327777778,1203.475508
0.330555556,1182.91921
0.333333333,1188.243177
0.336111111,1192.52227
0.338888889,1197.249684
0.341666667,1181.173003
0.344444444,1168.708515
0.347222222,1173.117502
0.35,1170.600324
0.352777778,1176.045486
0.355555556,1190.397917
0.358333333,1179.87801
0.361111111,1172.097102
0.363888889,1180.245457
0.366666667,1170.270205
0.369444444,1159.600396
0.372222222,1171.777694
0.375,1172.107173
0.377777778,1152.293373
0.380555556,1173.433174
0.383333333,1164.466664
0.386111111,1159.384357
0.388888889,1141.695694
0.391666667,1151.147459
0.394444444,1156.716073
0.397222222,1143.12107
0.4,1143.245314
0.402777778,1119.594077
0.405555556,1107.793991
0.408333333,1109.10001
0.411111111,1122.954667
0.413888889,1098.85806
0.416666667,1127.12993
0.419444444,1126.844888
0.422222222,1103.345701
0.425,1093.650519
0.427777778,1114.96341
0.430555556,1116.03614
0.433333333,1085.498086
0.436111111,1089.486875
0.438888889,1084.998066
0.441666667,1106.938575
0.444444444,1107.090977
0.447222222,1103.993249
0.45,1099.346052
0.452777778,1095.221118
0.455555556,1079.799341
0.458333333,1098.381671
0.461111111,1077.04108
0.463888889,1112.272657
0.466666667,1102.207541
0.469444444,1086.591044
0.472222222,1091.188007
0.475,1092.656395
0.477777778,1112.380258
0.480555556,1078.367341
0.483333333,1077.808525
0.486111111,1086.119117
0.488888889,1085.16869
0.491666667,1071.288096
0.494444444,1075.104072
0.497222222,1090.619241
0.5,1081.202908
0.502777778,1094.245782
0.505555556,1078.713723
0.508333333,1074.386262
0.511111111,1058.733908
0.513888889,1056.855688
0.516666667,1062.708993
0.519444444,1064.953745
0.522222222,1067.282383
0.525,1075.221437
0.527777778,1061.933521
0.530555556,1051.289342
0.533333333,1047.060588
0.536111111,1062.521979
0.538888889,1054.814562
0.541666667,1043.56065
0.544444444,1047.745881
0.547222222,1035.707941
0.55,1049.400902
0.552777778,1043.897694
0.555555556,1020.943389
0.558333333,1025.519314
0.561111111,1006.571824
0.563888889,1004.563439
0.566666667,1018.597883
0.569444444,1007.75249
0.572222222,1003.432895
0.575,998.6917478
0.577777778,1000.646005
0.580555556,993.6013926
0.583333333,1006.373483
0.586111111,1008.175687
0.588888889,992.9733024
0.591666667,982.3928488
0.594444444,995.1681732
0.597222222,996.9884622
0.6,989.6061934
0.602777778,980.6736612
