time,J_v
0.002777778,4223.958447
0.005555556,4210.675117
0.008333333,4020.269509
0.011111111,3911.823963
0.013888889,3784.567143
0.016666667,3621.403041
0.019444444,3488.610887
0.022222222,3415.474432
0.025,3296.086625
0.027777778,3192.080461
0.030555556,3167.153279
0.033333333,3131.416786
0.036111111,2923.299663
0.038888889,2837.932583
0.041666667,2784.772662
0.044444444,2773.599494
0.047222222,2748.36799
0.05,2693.176386
0.052777778,2671.76861
0.055555556,2609.033026
0.058333333,2514.003006
0.061111111,2499.458702
0.063888889,2464.60678
0.066666667,2417.687005
0.069444444,2370.972255
0.072222222,2289.060897
0.075,2271.742266
0.077777778,2245.977413
0.080555556,2197.628864
0.083333333,2110.708602
0.086111111,2073.911442
0.088888889,2040.57277
0.091666667,2012.463605
0.094444444,2030.432245
0.097222222,2014.646188
0.1,2012.130277
0.102777778,1993.377109
0.105555556,1954.653899
0.108333333,1879.805325
0.111111111,1874.605416
0.113888889,1871.648685
0.116666667,1835.307798
0.119444444,1837.154166
0.122222222,1839.523699
0.125,1835.852683
0.127777778,1817.050506
0.130555556,1797.730312
0.133333333,1744.357777
0.136111111,1718.636146
0.138888889,1706.424677
0.141666667,1701.580217
0.144444444,1709.653556
0.147222222,1695.25151
0.15,1669.867342
0.152777778,1668.3632
0.155555556,1654.392471
0.158333333,1644.626844
0.161111111,1640.559208
0.163888889,1588.086747
0.166666667,1558.145038
0.169444444,1555.301134
0.172222222,1571.720563
0.175,1575.786167
0.177777778,1518.536374
0.180555556,1523.45639
0.183333333,1539.303053
0.186111111,1518.663042
0.188888889,1528.447049
0.191666667,1500.924911
0.194444444,1451.91481
0.197222222,1477.096084
0.2,1480.296673
0.202777778,1497.190294
0.205555556,1416.098673
0.208333333,1421.723058
0.211111111,1535.183384
0.213888889,1510.395775
0.216666667,1200.04813
0.219444444,1234.713474
0.222222222,1206.413681
0.225,1192.609323
0.227777778,1207.330642
0.230555556,1247.583526
0.233333333,1192.655246
0.236111111,1201.447383
0.238888889,1204.753212
0.241666667,1285.074061
0.244444444,1248.757154
0.247222222,1206.286227
0.25,1200.176914
0.252777778,1201.196483
0.255555556,1207.20374
0.258333333,1194.12623
0.261111111,1192.857494
0.263888889,1193.11997
0.266666667,1213.834332
0.269444444,1225.454577
0.272222222,1278.0147
0.275,1190.528005
0.277777778,1195.223607
0.280555556,1175.064243
0.283333333,1191.34621
0.286111111,1182.547352
0.288888889,1198.661902
0.291666667,1181.766247
0.294444444,1168.528742
0.297222222,1175.618953
0.3,1173.467864
0.302777778,1176.057725
0.305555556,1174.824813
0.308333333,1198.260601
0.311111111,1180.814122
0.313888889,1169.060946
0.316666667,1155.402961
0.319444444,1204.708556
0.322222222,1185.779521
0.325,1156.584676
0.327777778,1160.454654
0.330555556,1131.203609
0.333333333,1162.833932
0.336111111,1152.480231
0.338888889,1145.478273
0.341666667,1134.69942
0.344444444,1139.769902
0.347222222,1139.517649
0.35,1202.12184
0.352777778,1139.438217
0.355555556,1122.786439
0.358333333,1130.796054
0.361111111,1131.681114
0.363888889,1118.408126
0.366666667,1099.790847
0.369444444,1082.506254
0.372222222,1129.655128
0.375,1123.913091
0.377777778,1137.820532
0.380555556,1121.064517
0.383333333,1129.992633
0.386111111,1161.012952
0.388888889,1100.416011
0.391666667,1108.704048
0.394444444,1110.787473
0.397222222,1127.462525
0.4,1109.678209
0.402777778,1068.318315
0.405555556,1092.546589
0.408333333,1082.280075
0.411111111,1107.149109
0.413888889,1103.141848
0.416666667,1081.984804
0.419444444,1044.430385
0.422222222,1031.1195
0.425,1028.516384
0.427777778,1051.437274
0.430555556,1035.219681
0.433333333,1049.671429
0.436111111,1040.885418
0.438888889,1061.245649
0.441666667,1035.127229
0.444444444,1033.704304
0.447222222,1040.840322
0.45,1028.29685
0.452777778,1024.732048
0.455555556,1023.202875
0.458333333,1028.098758
0.461111111,1055.84098
0.463888889,1052.995218
0.466666667,1047.301071
0.469444444,1001.200127
0.472222222,1037.843036
0.475,1019.032158
0.477777778,1038.040627
0.480555556,1035.449964
0.483333333,1020.529737
0.486111111,1058.365215
0.488888889,1027.171053
0.491666667,1038.51247
0.494444444,1027.195835
0.497222222,1016.480931
0.5,1027.765126
0.502777778,1025.630984
0.505555556,1038.07764
0.508333333,1022.273217
0.511111111,1011.13691
0.513888889,1030.881769
0.516666667,1011.262587
0.519444444,1014.711811
0.522222222,1021.852139
0.525,1021.927609
0.527777778,955.7879151
0.530555556,1033.538236
0.533333333,989.4935137
0.536111111,1024.580928
0.538888889,1013.819616
0.541666667,1017.159596
0.544444444,1015.491435
0.547222222,972.9665504
0.55,983.1850637
0.552777778,1016.968889
0.555555556,1002.52734
0.558333333,997.370775
0.561111111,1010.219065
0.563888889,997.5891274
0.566666667,980.0115445
0.569444444,997.347476
0.572222222,1012.404822
0.575,997.5349846
0.577777778,999.2397793
0.580555556,1003.521932
0.583333333,983.9597001
0.586111111,962.8582907
0.588888889,982.7774635
0.591666667,1003.602331
0.594444444,997.8413125
0.597222222,982.4054304
0.6,1005.933093
0.602777778,1014.818068
0.605555556,988.5261396
0.608333333,990.0736312
0.611111111,979.4209526
0.613888889,981.3915274
0.616666667,984.0788619
0.619444444,1001.135332
0.622222222,932.1777251
0.625,992.5803126
0.627777778,982.4241936
0.630555556,990.926368
0.633333333,969.8428959
0.636111111,949.3046021
0.638888889,995.2344771
0.641666667,986.278003
0.644444444,967.1980121
0.647222222,963.4007862
0.65,960.2062744
0.652777778,974.97985
0.655555556,964.1548049
0.658333333,958.8230611
0.661111111,963.9408306
0.663888889,970.6682163
0.666666667,977.297469
0.669444444,969.6975621
0.672222222,947.7900291
0.675,945.1846628
0.677777778,940.9628019
0.680555556,970.4023745
0.683333333,948.9416155
0.686111111,970.0327875
0.688888889,948.9210145
0.691666667,963.9141519
0.694444444,939.6870665
0.697222222,961.976785
0.7,973.9397708
0.702777778,935.5832925
0.705555556,949.4161305
0.708333333,957.759463
0.711111111,950.7249222
0.713888889,957.3845747
0.716666667,934.4406728
0.719444444,949.8425369
0.722222222,941.3071944
0.725,963.1912528
0.727777778,951.2990647
0.730555556,945.4162642
0.733333333,937.2149826
0.736111111,949.7264005
0.738888889,930.7777562
0.741666667,935.4868781
0.744444444,943.3707929
0.747222222,906.6311482
0.75,933.6469055
0.752777778,932.1074933
0.755555556,934.0242252
0.758333333,948.1921672
0.761111111,935.0893568
0.763888889,916.8785315
0.766666667,934.4280393
0.769444444,937.2585114
0.772222222,933.6527155
0.775,936.5045501
0.777777778,940.2253049
0.780555556,937.0846214
0.783333333,933.6375541
0.786111111,924.9258646
0.788888889,922.9353037
0.791666667,924.6336816
0.794444444,946.9445626
0.797222222,938.5267991
0.8,926.7328927
0.802777778,938.1430839
0.805555556,931.8240842
0.808333333,938.9709021
0.811111111,931.7068684
0.813888889,889.8719124
0.816666667,878.8196749
0.819444444,888.9226116
0.822222222,888.7044314
0.825,887.7082932
0.827777778,887.122416
0.830555556,861.3033072
0.833333333,889.6640773
0.836111111,893.7091913
0.838888889,885.6434938
0.841666667,892.2957926
0.844444444,878.4835872
0.847222222,887.0702869
0.85,877.8487183
0.852777778,868.976275
0.855555556,877.9741443
0.858333333,881.9509149
0.861111111,877.026545
0.863888889,877.1461993
0.866666667,879.074432
0.869444444,880.7526667
0.872222222,892.2439347
0.875,884.4581958
0.877777778,871.9202129
0.880555556,875.1147831
0.883333333,877.4002499
0.886111111,887.1937402
0.888888889,886.0194624
0.891666667,886.7900524
0.894444444,871.0471266
0.897222222,861.7623741
0.9,861.8697249
0.902777778,881.7495704
0.905555556,893.4951047
0.908333333,897.632469
0.911111111,887.6939761
0.913888889,866.1911979
0.916666667,879.3492732
0.919444444,872.0195979
0.922222222,869.2447526
0.925,872.2168174
0.927777778,865.2618396
0.930555556,870.8156795
0.933333333,918.0848889
0.936111111,881.709846
0.938888889,864.4257128
0.941666667,869.8896409
0.944444444,870.7288218
0.947222222,876.3378325
0.95,889.2958017
0.952777778,872.4199065
0.955555556,871.1439874
0.958333333,861.4679797
0.961111111,866.0495587
0.963888889,855.4519895
0.966666667,875.6832531
0.969444444,867.2031167
0.972222222,882.4915255
0.975,850.4081196
